site,site.visits,prop.roya,prop.myco,prop.lecanii,prop.mite,prop.snail
sandino,61,0.357723577,0.068181818,0.045454545,0,0
sandino,62,0.357723577,0.090909091,0.045454545,0,0
sandino,63,0.357723577,0.068181818,0.068181818,0,0
sandino,64,0.349593496,0,0,0,0
sandino,65,0.327433628,0.081081081,0.027027027,0,0
sandino,66,0.309734513,0.028571429,0.028571429,0,0
sandino,67,0.294642857,0.03030303,0.03030303,0,0
sandino,68,0.333333333,0.081081081,0.027027027,0,0
sandino,69,0.324324324,0.083333333,0,0,0
sandino,70,0.324324324,0.055555556,0.027777778,0,0
leon,50,0.201612903,0,0,0,0
leon,51,0.196721311,0.041666667,0,0,0
leon,52,0.229508197,0.035714286,0,0,0
leon,53,0.245901639,0.033333333,0,0,0
leon,54,0.245901639,0.033333333,0,0,0
leon,55,0.245901639,0.033333333,0,0,0
leon,56,0.245901639,0,0,0,0
leon,57,0.262295082,0.0625,0,0,0
leon,58,0.262295082,0.0625,0.0625,0,0
leon,59,0.237704918,0.068965517,0.034482759,0,0
leon,60,0.237704918,0.068965517,0.034482759,0,0
leon,61,0.239669421,0.034482759,0,0,0
leon,62,0.247933884,0.066666667,0,0,0
leon,63,0.239669421,0.034482759,0.034482759,0,0
leon,64,0.256198347,0.129032258,0.032258065,0,0
leon,65,0.247933884,0.066666667,0,0,0
leon,66,0.272727273,0.090909091,0,0,0
leon,67,0.289256198,0,0,0,0
leon,68,0.338842975,0.024390244,0,0,0
leon,69,0.310344828,0,0,0,0
leon,70,0.327586207,0,0,0,0
LOTTY,21,0.672897196,0.194444444,0.847222222,0.222222222,0
LOTTY,22,0.672897196,0.125,0.833333333,0.263888889,0.083333333
LOTTY,23,0.672897196,0.013888889,0.847222222,0.375,0.027777778
LOTTY,24,0.672897196,0.027777778,0.833333333,0.361111111,0.083333333
LOTTY,25,0.672897196,0.041666667,0.944444444,0.472222222,0.083333333
LOTTY,26,0.663551402,0,0.957746479,0.112676056,0.154929577
LOTTY,27,0.672897196,0,0.930555556,0.069444444,0.277777778
LOTTY,28,0.663551402,0.042253521,0.943661972,0.028169014,0.253521127
LOTTY,29,0.672897196,0.083333333,0.888888889,0.111111111,0.180555556
LOTTY,30,0.654205607,0.085714286,0.971428571,0.042857143,0.314285714
LOTTY,31,0.663551402,0.098591549,0.943661972,0.126760563,0.295774648
LOTTY,32,0.663551402,0.169014085,0.957746479,0.394366197,0.197183099
LOTTY,33,0.663551402,0.098591549,0.901408451,0.352112676,0.056338028
LOTTY,34,0.663551402,0.056338028,0.816901408,0.352112676,0.014084507
LOTTY,35,0.663551402,0.056338028,0.85915493,0.366197183,0.028169014
LOTTY,36,0.663551402,0.084507042,0.845070423,0.478873239,0.070422535
LOTTY,37,0.654205607,0.042857143,0.8,0.414285714,0.028571429
